FID,SUBNAME,SUBSTATION,MIN_KV,MAX_KV,NUMBANKS,REDACTED,OBJECTID,UNGROUNDED
593,PANOCHE,25367,12.000000000000000,230.000000000000000,1.000000000000000,Yes,81490,None
594,SAN JUSTO,18318,12.000000000000000,21.000000000000000,1.000000000000000,No,129492,None
595,TRES PINOS,18322,12.000000000000000,21.000000000000000,1.000000000000000,No,145495,None
596,HORSESHOE,15257,12.000000000000000,115.000000000000000,2.000000000000000,No,161511,None
597,DIAMOND SPRINGS,15226,12.000000000000000,115.000000000000000,2.000000000000000,No,161512,None
598,SILVERADO,4343,21.000000000000000,115.000000000000000,2.000000000000000,No,161513,None
599,NORTH TOWER,4204,12.000000000000000,115.000000000000000,4.000000000000000,No,161514,None
600,SAN RAFAEL,4201,12.000000000000000,115.000000000000000,3.000000000000000,Yes,161515,None
601,PLACER,15246,12.000000000000000,115.000000000000000,2.000000000000000,Yes,161516,None
602,OLEMA,4229,12.000000000000000,60.000000000000000,1.000000000000000,No,161517,1
603,SHINGLE SPRINGS,15365,12.000000000000000,115.000000000000000,3.000000000000000,Yes,161518,3
604,FLINT,15253,12.000000000000000,115.000000000000000,1.000000000000000,Yes,161519,None
605,SHADY GLEN,15243,12.000000000000000,60.000000000000000,1.000000000000000,No,161524,1
606,NAPA,4202,12.000000000000000,60.000000000000000,3.000000000000000,No,161521,None
607,ROCKLIN,15206,12.000000000000000,60.000000000000000,2.000000000000000,No,161522,"1,2"
608,PLACERVILLE,15308,12.000000000000000,115.000000000000000,2.000000000000000,No,161523,None
609,TULUCAY,4230,12.000000000000000,60.000000000000000,1.000000000000000,Yes,161525,None
610,NARROWS,15313,21.000000000000000,60.000000000000000,2.000000000000000,Yes,161526,2
611,CHOWCHILLA,25410,12.000000000000000,115.000000000000000,2.000000000000000,Yes,65024,None
612,FIREBAUGH,25347,12.000000000000000,70.000000000000000,1.000000000000000,Yes,65025,None
613,ALPAUGH,25400,12.000000000000000,115.000000000000000,3.000000000000000,Yes,65026,None
614,CAMP EVERS,8362,21.000000000000000,115.000000000000000,2.000000000000000,No,49011,None
615,ROBLES,1358,4.000000000000000,21.000000000000000,1.000000000000000,Yes,418151,None
616,SPRUCE,1334,4.160000000000000,12.000000000000000,2.000000000000000,Yes,418168,None
617,AMD,8385,0.000000000000000,0.000000000000000,1.000000000000000,Yes,48993,None
618,BUCKS CREEK,10221,12.000000000000000,11.000000000000000,1.000000000000000,Yes,161669,None
619,HAMMER,16330,12.000000000000000,60.000000000000000,3.000000000000000,Yes,64994,None
620,CRESSEY,25470,21.000000000000000,115.000000000000000,1.000000000000000,No,64995,None
621,SPRING GAP,16283,17.000000000000000,115.000000000000000,1.000000000000000,No,64996,None
622,HAMMONDS,25340,12.000000000000000,115.000000000000000,1.000000000000000,Yes,64997,None
623,COLUMBUS,25395,12.000000000000000,115.000000000000000,3.000000000000000,Yes,64998,None
624,GUSTINE,16311,12.000000000000000,60.000000000000000,2.000000000000000,Yes,64999,"1,2"
625,VIERRA,16270,17.000000000000000,115.000000000000000,2.000000000000000,Yes,65000,"1,2"
626,BERRENDA C,25448,12.000000000000000,70.000000000000000,1.000000000000000,Yes,65001,1
627,MADERA,25276,12.000000000000000,70.000000000000000,3.000000000000000,Yes,65002,None
628,GUERNSEY,25266,12.000000000000000,70.000000000000000,2.000000000000000,Yes,65003,None
629,ELK HILLS,25244,12.000000000000000,70.000000000000000,1.000000000000000,Yes,65004,None
630,ANNAPOLIS,4286,12.000000000000000,60.000000000000000,1.000000000000000,No,161566,None
631,BELLEVUE,4318,12.000000000000000,115.000000000000000,4.000000000000000,Yes,161567,None
632,CEDAR CREEK,10332,12.000000000000000,60.000000000000000,1.000000000000000,No,161568,None
633,MARYSVILLE,15201,12.000000000000000,60.000000000000000,3.000000000000000,Yes,161570,None
634,TUDOR,15371,12.000000000000000,60.000000000000000,1.000000000000000,Yes,161571,None
635,FRUITLAND,19231,12.000000000000000,60.000000000000000,1.000000000000000,No,161572,1
636,TRINIDAD,19223,12.000000000000000,60.000000000000000,1.000000000000000,Yes,161573,None
637,LOW GAP,19241,12.000000000000000,115.000000000000000,1.000000000000000,No,161574,None
638,EUREKA E,19233,12.000000000000000,60.000000000000000,1.000000000000000,Yes,161575,None
639,ARCATA,19202,12.000000000000000,60.000000000000000,2.000000000000000,Yes,161576,None
640,GANSNER,10302,12.000000000000000,60.000000000000000,1.000000000000000,No,161577,1
641,BIG LAGOON,19236,12.000000000000000,60.000000000000000,1.000000000000000,No,161578,1
642,DAYTON ROAD,10294,4.160000000000000,12.000000000000000,1.000000000000000,No,161580,None
643,ELK CREEK,10278,12.000000000000000,60.000000000000000,1.000000000000000,No,161584,1
644,MONROE,4330,12.000000000000000,115.000000000000000,3.000000000000000,Yes,161581,None
645,JESSUP,10344,12.000000000000000,115.000000000000000,1.000000000000000,No,161582,None
646,WYANDOTTE,10291,12.000000000000000,115.000000000000000,3.000000000000000,Yes,161583,None
647,JACINTO,10285,12.000000000000000,60.000000000000000,1.000000000000000,No,161585,1
648,LOGAN CREEK,10314,21.000000000000000,230.000000000000000,1.000000000000000,No,161586,None
649,WILLOWS A,10274,12.000000000000000,60.000000000000000,1.000000000000000,No,161587,1
650,KANAKA,10322,12.000000000000000,115.000000000000000,1.000000000000000,No,161588,1
651,CHALLENGE,10320,12.000000000000000,60.000000000000000,1.000000000000000,No,161589,1
652,BANGOR,10319,12.000000000000000,115.000000000000000,1.000000000000000,No,161590,1
653,FULTON,4256,12.000000000000000,230.000000000000000,2.000000000000000,No,161597,None
654,CHESTER,10318,12.000000000000000,60.000000000000000,1.000000000000000,No,161591,1
655,CALPINE,4801,0.000000000000000,0.000000000000000,1.000000000000000,Yes,161592,None
656,SYCAMORE CREEK,10297,12.000000000000000,115.000000000000000,3.000000000000000,No,161593,None
657,OROVILLE,10252,4.000000000000000,60.000000000000000,3.000000000000000,Yes,161594,3
658,BOGUE,15378,12.000000000000000,115.000000000000000,2.000000000000000,No,161775,None
659,WHEATLAND,15281,12.000000000000000,60.000000000000000,2.000000000000000,No,161776,"1,2"
660,HARTER,15285,12.000000000000000,60.000000000000000,2.000000000000000,Yes,161777,None
661,OLIVEHURST,15290,12.000000000000000,115.000000000000000,2.000000000000000,No,161778,None
662,CATLETT,15376,12.000000000000000,60.000000000000000,2.000000000000000,Yes,161779,1
663,BELL,15270,12.000000000000000,115.000000000000000,2.000000000000000,No,161780,None
664,COLUMBIA HILL,15247,12.000000000000000,60.000000000000000,1.000000000000000,No,161781,1
